"EDID","Candidate","Party EN","Party FR","Candidate Residence","Candidate Occupation","Votes Obtained","Percentage of Votes Obtained","Majority","Majority Percentage"
10001,"Scott Andrews","Liberal","Libéral","Conception Bay South, N.L./T.-N.-L.","Municipal Councillor",14866,45.28,3324,10.1
10001,"Fabian Manning","Conservative","Conservateur","St. Bride's, N.L./T.-N.-L.","Parliamentarian",11542,35.16,,
10001,"Randy Wayne Dawe","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Clarke's Beach, N.L./T.-N.-L.","Truck Driver",5707,17.38,,
10001,"Dave Aylward","Green Party","Parti Vert","Witless Bay, N.L./T.-N.-L.","Student",714,2.17,,
10002,"Scott Simms","Liberal","Libéral","Bishop's Falls, N.L./T.-N.-L.","Parliamentarian",20089,70.27,15735,55
10002,"Andrew House","Conservative","Conservateur","Gander, N.L./T.-N.-L.","Lawyer",4354,15.23,,
10002,"Jason Holley","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Amherst Cove, N.L./T.-N.-L.","Artist",3577,12.51,,
10002,"Robert Karl O'Connor","Green Party","Parti Vert","St. John's, N.L./T.-N.-L.","Physician",568,1.99,,
10003,"Gerry Byrne","Liberal","Libéral","Corner Brook, N.L./T.-N.-L.","Parliamentarian",17956,68.22,13353,50.7
10003,"Mark Kennedy","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Corner Brook, N.L./T.-N.-L.","Engineering Technician",4603,17.49,,
10003,"Lorne Robinson","Conservative","Conservateur","Pasadena, N.L./T.-N.-L.","Financial Planner",2799,10.63,,
10003,"Wayne Ronald Bennett","NL First Party","NL First Party","Pasadena, N.L./T.-N.-L.","Retired",964,3.66,,
10004,"Todd Russell","Liberal","Libéral","Happy Valley-Goose Bay, N.L./T.-N.-L.","Parliamentarian",5426,70.28,4048,52.4
10004,"Phyllis Artiss","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","St. John's, N.L./T.-N.-L.","Retired University Professor",1378,17.85,,
10004,"Lacey Lewis","Conservative","Conservateur","Ottawa, Ont.","Office Assistant, Supervisor at Shoppers Drug Mart",615,7.97,,
10004,"Nyssa Christine McLeod","Green Party","Parti Vert","Ottawa, Ont.","Administrative Assistant",302,3.91,,
10005,"Judy Foote","Liberal","Libéral","St. John's, N.L./T.-N.-L.","Parliamentarian",12557,53.72,6994,29.9
10005,"Terry White","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Stephenville, N.L./T.-N.-L.","Carpenter",5563,23.8,,
10005,"Herb Davis","Conservative","Conservateur","Gatineau, Que./Qc","Policy Advisor",4791,20.5,,
10005,"Kaitlin Wainwright","Green Party","Parti Vert","Ottawa, Ont.","Student",462,1.98,,
10006,"Jack Harris","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","St. John's, N.L./T.-N.-L.","Lawyer",30881,74.55,25670,62
10006,"Walter Noel","Liberal","Libéral","St. John's, N.L./T.-N.-L.","Economist",5211,12.58,,
10006,"Craig Westcott","Conservative","Conservateur","Conception Bay South, N.L./T.-N.-L.","Journalist, Self-employed",3836,9.26,,
10006,"Shannon John Tobin","PC Party","Parti PC","St. John's, N.L./T.-N.-L.","Student, Entrepreneur",578,1.4,,
10006,"Howard Story","Green Party","Parti Vert","St. John's, N.L./T.-N.-L.","Businessman",570,1.38,,
10006,"Les Coultas","NL First Party","NL First Party","St. John's, N.L./T.-N.-L.","Retail Manager",347,0.84,,
10007,"Siobhan Coady","Liberal","Libéral","St. John's, N.L./T.-N.-L.","Business Executive",14920,43.32,949,2.8
10007,"Ryan Cleary","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","St. John's, N.L./T.-N.-L.","Journalist",13971,40.57,,
10007,"Merv Wiseman","Conservative","Conservateur","North Harbour, N.L./T.-N.-L.","Maritime Search & Rescue Coordinator",4324,12.56,,
10007,"Ted Warren","Green Party","Parti Vert","St. John's, N.L./T.-N.-L.","Retired",643,1.87,,
10007,"Greg Byrne","NL First Party","NL First Party","Kelowna, B.C./C.-B.","Retired",402,1.17,,
10007,"Terry Christopher Butler","Independent","Indépendant","St. John's, N.L./T.-N.-L.","Astrologer",179,0.52,,
11001,"Lawrence MacAulay","Liberal","Libéral","Midgell, P.E.I./Î.-P.-É.","Farmer",10105,52.81,4444,23.2
11001,"Sid McMullin","Conservative","Conservateur","Georgetown, P.E.I./Î.-P.-É.","Human Resource Officer",5661,29.59,,
11001,"Mike Avery","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Millview, P.E.I./Î.-P.-É.","Maintenance Worker #3",1556,8.13,,
11001,"Larry McGuire","Independent","Indépendant","Morell, P.E.I./Î.-P.-É.","Retired Teacher",1101,5.75,,
11001,"Emma Daughton","Green Party","Parti Vert","Mermaid, P.E.I./Î.-P.-É.","Student",710,3.71,,
11002,"Shawn Murphy","Liberal","Libéral","Charlottetown, P.E.I./Î.-P.-É.","Parliamentarian",8893,50.06,3189,18
11002,"Tom DeBlois","Conservative","Conservateur","Charlottetown, P.E.I./Î.-P.-É.","Business Manager",5704,32.11,,
11002,"Brian Pollard","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Charlottetown, P.E.I./Î.-P.-É.","Filmmaker",2187,12.31,,
11002,"Laura M. Bisaillon","Green Party","Parti Vert","Montréal, Que./Qc","Health Researcher",858,4.83,,
11002,"Baird Judson","Christian Heritage Party","Parti de l'Héritage Chrétien","Alexandra, P.E.I./Î.-P.-É.","Retired Professor",124,0.7,,
11003,"Gail Shea","Conservative","Conservateur","Tignish, P.E.I./Î.-P.-É.","Former Civil Servant",8110,43.93,55,0.3
11003,"Keith Milligan","Liberal","Libéral","Tyne Valley, P.E.I./Î.-P.-É.","Teacher, Former Public Servant",8055,43.63,,
11003,"Orville Lewis","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Woodstock, P.E.I./Î.-P.-É.","Farmer",1670,9.05,,
11003,"Rebecca Ridlington","Green Party","Parti Vert","Summerside, P.E.I./Î.-P.-É.","Supply Teacher Western School Board",626,3.39,,
11004,"Wayne Easter","Liberal","Libéral","North Wiltshire, P.E.I./Î.-P.-É.","Farmer",8312,44.19,924,4.9
11004,"Mary Crane","Conservative","Conservateur","Kensington, P.E.I./Î.-P.-É.","Educator",7388,39.28,,
11004,"J'Nan Brown","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Clyde River, P.E.I./Î.-P.-É.","Retired",1819,9.67,,
11004,"Peter Bevan-Baker","Green Party","Parti Vert","Hampton, P.E.I./Î.-P.-É.","Dentist",1291,6.86,,
12001,"Rodger Cuzner","Liberal","Libéral","Glace Bay, N.S./N.-É.","Parliamentarian",17447,48.1,8923,24.6
12001,"Allan Richard Murphy","Conservative","Conservateur","Antigonish, N.S./N.-É.","Newspaper Publisher",8524,23.5,,
12001,"Mark MacNeill","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Inverness, N.S./N.-É.","Government and Business Policy Advisor",7660,21.12,,
12001,"Dwayne MacEachern","Green Party","Parti Vert","Judique, N.S./N.-É.","Community Development Officer",2641,7.28,,
12002,"Peter Gordon MacKay","Conservative","Conservateur","New Glasgow, N.S./N.-É.","Lawyer",18240,46.6,5620,14.4
12002,"Elizabeth May","Green Party","Parti Vert","New Glasgow, N.S./N.-É.","Leader of Political Party",12620,32.24,,
12002,"Mary Louise Lorefice","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Antigonish, N.S./N.-É.","retired educator",7659,19.57,,
12002,"Michael Harris MacKay","Christian Heritage Party","Parti de l'Héritage Chrétien","West River Station, N.S./N.-É.","Retail",427,1.09,,
12002,"Paul Kemp","CAP","PAC","Scotsburn, N.S./N.-É.","Web Master",196,0.5,,
12007,"Bill Casey","Independent","Indépendant","Amherst, N.S./N.-É.","Business person",27303,69.01,22429,56.7
12007,"Karen Olsson","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","North River, N.S./N.-É.","Stay-at-home Mother",4874,12.32,,
12007,"Joel E. Bernard","Conservative","Conservateur","Orléans, Ont.","Senior Policy Advisor Public Safety",3493,8.83,,
12007,"Tracy Parsons","Liberal","Libéral","Bible Hill, N.S./N.-É.","V.P. Sales",3344,8.45,,
12007,"Rick Simpson","Independent","Indépendant","Springhill, N.S./N.-É.","Retired",550,1.39,,
12003,"Michael John Savage","Liberal","Libéral","Dartmouth, N.S./N.-É.","Parliamentarian",16016,39.49,3223,7.9
12003,"Brad Pye","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Ottawa, Ont.","Senior Political Party Program Officer",12793,31.55,,
12003,"Wanda Webber","Conservative","Conservateur","Dartmouth, N.S./N.-É.","Teacher",9109,22.46,,
12003,"Paul Shreenan","Green Party","Parti Vert","Dartmouth, N.S./N.-É.","Teacher",2417,5.96,,
12003,"George Campbell","Christian Heritage Party","Parti de l'Héritage Chrétien","Dartmouth, N.S./N.-É.","Church Minister",219,0.54,,
12004,"Megan Leslie","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Halifax, N.S./N.-É.","Community Legal Worker",19252,42.69,6794,15.1
12004,"Catherine Meade","Liberal","Libéral","Halifax, N.S./N.-É.","Lawyer",12458,27.62,,
12004,"Ted Larsen","Conservative","Conservateur","Halifax, N.S./N.-É.","Businessman",9295,20.61,,
12004,"Darryl Whetter","Green Party","Parti Vert","Halifax, N.S./N.-É.","Professor",3931,8.72,,
12004,"Tony Seed","Marxist-Leninist","Marxiste-Léniniste","Halifax, N.S./N.-É.","Editor, publisher",162,0.36,,
12005,"Geoff Regan","Liberal","Libéral","Bedford, N.S./N.-É.","Lawyer",17129,41.56,4928,12
12005,"Tamara Lorincz","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Halifax, N.S./N.-É.","Director Nova Scotia Environmental Network (NSEN)",12201,29.6,,
12005,"Rakesh Khosla","Conservative","Conservateur","Halifax, N.S./N.-É.","Life Insurance Broker",8708,21.13,,
12005,"Michael Munday","Green Party","Parti Vert","Hatchet Lake, N.S./N.-É.","Professional Quantity Surveyor",2920,7.08,,
12005,"Trevor Ennis","Christian Heritage Party","Parti de l'Héritage Chrétien","Halifax, N.S./N.-É.","Swimming Pool Sales Agent",257,0.62,,
12006,"Scott Brison","Liberal","Libéral","Cheverie, N.S./N.-É.","Parliamentarian",16641,44.19,6795,18
12006,"Rosemary Segado","Conservative","Conservateur","Wolfville, N.S./N.-É.","Property Manager, Owner",9846,26.15,,
12006,"Carol E. Harris","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Wolfville, N.S./N.-É.","Educator",8291,22.02,,
12006,"Brendan MacNeill","Green Party","Parti Vert","Wolfville, N.S./N.-É.","Student",2353,6.25,,
12006,"Jim Hnatiuk","Christian Heritage Party","Parti de l'Héritage Chrétien","Enfield, N.S./N.-É.","Combat Systems Technician",528,1.4,,
12008,"Peter Stoffer","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Windsor Junction, N.S./N.-É.","Parliamentarian",24279,61.42,16081,40.7
12008,"David Montgomery","Conservative","Conservateur","Windsor Junction, N.S./N.-É.","Sales",8198,20.74,,
12008,"Carolyn Scott","Liberal","Libéral","Eastern Passage, N.S./N.-É.","Retired",5018,12.69,,
12008,"Noreen Hartlen","Green Party","Parti Vert","Dartmouth, N.S./N.-É.","Self-Employed",2034,5.15,,
12009,"Gerald Keddy","Conservative","Conservateur","New Ross, N.S./N.-É.","Parliamentarian",14388,35.99,932,2.3
12009,"Gordon S. Earle","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Upper Tantallon, N.S./N.-É.","Retired Public Servant",13456,33.65,,
12009,"Bill Smith","Liberal","Libéral","New Germany, N.S./N.-É.","Chiropractor",9536,23.85,,
12009,"Michael Oddy","Green Party","Parti Vert","Hubbards, N.S./N.-É.","Teacher",2090,5.23,,
12009,"Joe Larkin","Christian Heritage Party","Parti de l'Héritage Chrétien","Shag Harbour, N.S./N.-É.","Retired Fisherman",513,1.28,,
12010,"Mark Eyking","Liberal","Libéral","Millville, N.S./N.-É.","Parliamentarian",17303,49.4,8744,25
12010,"Wayne McKay","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Sydney, N.S./N.-É.","Teacher",8559,24.44,,
12010,"Kristen Rudderham","Conservative","Conservateur","Sydney, N.S./N.-É.","Lawyer",7223,20.62,,
12010,"Collin Harker","Green Party","Parti Vert","Sydney, N.S./N.-É.","Consultant",1941,5.54,,
12011,"Greg Kerr","Conservative","Conservateur","Granville Ferry, N.S./N.-É.","Retired Teacher, Farmer",16779,39.94,1594,3.8
12011,"Robert Thibault","Liberal","Libéral","Lower Concession, N.S./N.-É.","Administrator",15185,36.15,,
12011,"George Barron","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Bear River, N.S./N.-É.","Paramedic",7097,16.89,,
12011,"Ronald Mills","Green Party","Parti Vert","Waterville, N.S./N.-É.","Retired Industrial Electrician",2106,5.01,,
12011,"Cindy M. Nesbitt","Independent","Indépendant","Freeport, N.S./N.-É.","Director",844,2.01,,
13001,"Yvon Godin","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Bathurst, N.B./N.-B.","Parlementaire",25849,57.53,15999,35.6
13001,"Odette Robichaud","Liberal","Libéral","Inkerman Ferry, N.B./N.-B.","Sténographe judiciaire",9850,21.92,,
13001,"Jean Guy Dubé","Conservative","Conservateur","Rivière-du-Portage, N.B./N.-B.","Consultant en Affaires",8331,18.54,,
13001,"Michelle Aubin","Green Party","Parti Vert","Dieppe, N.B./N.-B.","legal assistant",904,2.01,,
13002,"Dominic LeBlanc","Liberal","Libéral","Grande-Digue, N.B./N.-B.","Parliamentarian",20059,46.76,7553,17.6
13002,"Omer Leger","Conservative","Conservateur","Saint-Antoine, N.B./N.-B.","semi-retiré",12506,29.16,,
13002,"Chris Durrant","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Sackville, N.B./N.-B.","Student",7242,16.88,,
13002,"Michael Milligan","Green Party","Parti Vert","Shediac River, N.B./N.-B.","Entrepreneur",3087,7.2,,
13003,"Keith Ashfield","Conservative","Conservateur","Lincoln, N.B./N.-B.","Legislator",17962,42.53,4643,11
13003,"David Innes","Liberal","Libéral","Fredericton, N.B./N.-B.","Engineer",13319,31.54,,
13003,"Jesse Travis","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Rusagonis, N.B./N.-B.","Software Sales Consultant",6490,15.37,,
13003,"Mary Lou Babineau","Green Party","Parti Vert","Fredericton, N.B./N.-B.","Assistant Professor",4293,10.17,,
13003,"Ben Kelly","CAP","PAC","Fredericton, N.B./N.-B.","Student",168,0.4,,
13004,"Rob Moore","Conservative","Conservateur","Quispamsis, N.B./N.-B.","Parliamentarian",17211,51.63,9304,27.9
13004,"Rob Moir","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Clifton Royal, N.B./N.-B.","Professor",7907,23.72,,
13004,"Mark Wright","Liberal","Libéral","Sussex, N.B./N.-B.","Sales Representative",5773,17.32,,
13004,"Erik Matthew Millett","Green Party","Parti Vert","Hampton, N.B./N.-B.","Principal Elementary School",2443,7.33,,
13005,"Jean-Claude JC D'Amours","Liberal","Libéral","Edmundston, N.B./N.-B.","Parlementaire",16266,47.4,4864,14.2
13005,"Jean-Pierre Ouellet","Conservative","Conservateur","Edmundston, N.B./N.-B.","Enseignant",11402,33.23,,
13005,"Thérèse Tremblay-Philippe","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Dalhousie, N.B./N.-B.","Library - assistant",5361,15.62,,
13005,"André Arpin","Green Party","Parti Vert","Kedgwick River, N.B./N.-B.","Entrepreneur indépendant",1287,3.75,,
13006,"Tilly O'Neill-Gordon","Conservative","Conservateur","Miramichi, N.B./N.-B.","Teacher",12058,42.08,1468,5.1
13006,"Charles Hubbard","Liberal","Libéral","Red Bank, N.B./N.-B.","Parliamentarian",10590,36.95,,
13006,"Donald A. Doucet","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Lagacéville, N.B./N.-B.","Small Business Owner",4904,17.11,,
13006,"Todd Smith","Green Party","Parti Vert","Canoe, B.C./C.-B.","Student",1105,3.86,,
13007,"Brian Murphy","Liberal","Libéral","Moncton, N.B./N.-B.","Lawyer",17797,39.13,1500,3.3
13007,"Daniel Allain","Conservative","Conservateur","Dieppe, N.B./N.-B.","Economic Developer",16297,35.83,,
13007,"Carl Bainbridge","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Moncton, N.B./N.-B.","Driver Contractor",7394,16.26,,
13007,"Alison Ménard","Green Party","Parti Vert","Moncton, N.B./N.-B.","Lawyer",3998,8.79,,
13008,"Greg Thompson","Conservative","Conservateur","Bayside, N.B./N.-B.","Parliamentarian",17474,58.32,11611,38.8
13008,"Nancy MacIntosh","Liberal","Libéral","Hanwell, N.B./N.-B.","Political Advisor, Executive Director",5863,19.57,,
13008,"Andrew Graham","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Saint John, N.B./N.-B.","Woodworker - Carpenter",4958,16.55,,
13008,"Robert Wayne Boucher","Green Party","Parti Vert","Harvey York Co, N.B./N.-B.","IT Security Specialist",1667,5.56,,
13009,"Rodney Weston","Conservative","Conservateur","Saint Martins, N.B./N.-B.","Manager",13782,39.55,497,1.4
13009,"Paul Zed","Liberal","Libéral","Rothesay, N.B./N.-B.","Lawyer",13285,38.13,,
13009,"Tony Mowery","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Saint John, N.B./N.-B.","Substitute Teacher",5560,15.96,,
13009,"Mike Richardson","Green Party","Parti Vert","Saint John, N.B./N.-B.","Network Analyst",1888,5.42,,
13009,"Michael Moffat","Radical Marijuana","Radical Marijuana","Lincoln, N.B./N.-B.","Entertainment",330,0.95,,
13010,"Mike Allen","Conservative","Conservateur","Douglas, N.B./N.-B.","Parliamentarian",18071,57.4,11298,35.9
13010,"Sally McGrath","Liberal","Libéral","Taymouth, N.B./N.-B.","High School Teacher",6773,21.51,,
13010,"Alice Finnamore","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Scotch Settlement York Co, N.B./N.-B.","Psychologist",4830,15.34,,
13010,"Mark Glass","Green Party","Parti Vert","Sisson Ridge, N.B./N.-B.","Pharmacist",1810,5.75,,
24046,"Yvon Lévesque","Bloc Québécois","Bloc Québécois","Val-Senneville, Que./Qc","Conseiller en relations de travail",10995,39.65,2573,9.3
24046,"Jean-Maurice Matte","Conservative","Conservateur","Senneterre, Que./Qc","Administrateur",8422,30.37,,
24046,"Mark Canada","Liberal","Libéral","Rivière-Héva, Que./Qc","Entrepreneur",5108,18.42,,
24046,"Erica Martin","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Montréal, Que./Qc","Étudiante",2276,8.21,,
24046,"Patrick Rancourt","Green Party","Parti Vert","Vassan, Que./Qc","Tech. forestier",928,3.35,,
24001,"Marc Lemay","Bloc Québécois","Bloc Québécois","Rouyn-Noranda, Que./Qc","Avocat",20929,47.91,11874,27.2
24001,"Gilbert Barrette","Liberal","Libéral","La Sarre, Que./Qc","Retraité",9055,20.73,,
24001,"Pierre Grandmaitre","Conservative","Conservateur","Rouyn-Noranda, Que./Qc","Agent immobilier",8267,18.93,,
24001,"Christine Moore","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Dupuy, Que./Qc","infirmière",4151,9.5,,
24001,"Bruno Côté","Green Party","Parti Vert","Québec, Que./Qc","Economiste",976,2.23,,
24001,"Ghislain Loiselle","Independent","Indépendant","Rouyn-Noranda, Que./Qc","Jounaliste",302,0.69,,
24002,"Maria Mourani","Bloc Québécois","Bloc Québécois","Blainville, Que./Qc","Parlementaire",18815,39.49,423,0.9
24002,"Eleni Bakopanos","Liberal","Libéral","Montréal, Que./Qc","Conseillère politique",18392,38.6,,
24002,"Jean Précourt","Conservative","Conservateur","Montréal, Que./Qc","Expert comptable FCGA",4937,10.36,,
24002,"Alexandra Bélec","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Montréal, Que./Qc","Avocate",4276,8.97,,
24002,"Lynette Tremblay","Green Party","Parti Vert","Montréal, Que./Qc","Travailleure autonome",1228,2.58,,
24003,"Robert Carrier","Bloc Québécois","Bloc Québécois","Laval, Que./Qc","Ingénieur",20686,38.83,5092,9.6
24003,"Wilson Saintelmy","Liberal","Libéral","Laval, Que./Qc","Homme d'affaires",15594,29.27,,
24003,"Alexandre Salameh","Conservative","Conservateur","Laval, Que./Qc","Ingénieur",8662,16.26,,
24003,"Cynthia Roy","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Mirabel, Que./Qc","Mère",6406,12.03,,
24003,"Tristan Desjardins Drouin","Green Party","Parti Vert","Laval, Que./Qc","Étudiant",1665,3.13,,
24003,"Régent Millette","Independent","Indépendant","Laval, Que./Qc","Professeur",259,0.49,,
24004,"Mario Laframboise","Bloc Québécois","Bloc Québécois","Notre-Dame-de-la-Paix, Que./Qc","Parlementaire",26455,48.1,16471,29.9
24004,"André Robert","Liberal","Libéral","Saint-André-Avellin, Que./Qc","secrétaire conseil du trésor",9984,18.15,,
24004,"Scott Pearce","Conservative","Conservateur","Gore, Que./Qc","Mayor + Transport Company Owner",9584,17.43,,
24004,"Alain Senécal","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Mirabel, Que./Qc","Technicien automatismes",6819,12.4,,
24004,"Pierre Audette","Green Party","Parti Vert","Clova, Que./Qc","Rénovateur",2055,3.74,,
24004,"Christian-Simon Ferlatte","Marxist-Leninist","Marxiste-Léniniste","Cantley, Que./Qc","Étudiant",98,0.18,,
24054,"Louis Plamondon","Bloc Québécois","Bloc Québécois","Sorel-Tracy, Que./Qc","Parlementaire",26821,54.67,17917,36.5
24054,"Réjean Bériault","Conservative","Conservateur","Sorel-Tracy, Que./Qc","Directeur général",8904,18.15,,
24054,"Ghislaine Cournoyer","Liberal","Libéral","Sorel-Tracy, Que./Qc","Infirmière Retraitée Ens. du CEGEP Sorel Tracy",7987,16.28,,
24054,"Nourredine Seddiki","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Sorel-Tracy, Que./Qc","Professeur",4010,8.17,,
24054,"Rebecca Laplante","Green Party","Parti Vert","Sainte-Croix, Que./Qc","étudiante",1334,2.72,,
24005,"Maxime Bernier","Conservative","Conservateur","Saint-Georges, Que./Qc","avocat",31883,62.41,24740,48.4
24005,"André Côté","Bloc Québécois","Bloc Québécois","Saint-Georges, Que./Qc","Récréologue",7143,13.98,,
24005,"René Roy","Liberal","Libéral","Saint-Jules, Que./Qc","Agriculteur",5270,10.32,,
24005,"Véronique Poulin","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Québec, Que./Qc","Étudiante",4352,8.52,,
24005,"Nicolas Rochette","Green Party","Parti Vert","Notre-Dame-des-Pins, Que./Qc","Professeur de mathématiques",2436,4.77,,
24006,"Claude Debellefeuille","Bloc Québécois","Bloc Québécois","Ormstown, Que./Qc","Parlementaire",26904,50.07,16046,29.9
24006,"Dominique Bellemare","Conservative","Conservateur","Beauharnois, Que./Qc","avocat",10858,20.21,,
24006,"Maria Lopez","Liberal","Libéral","Hemmingford, Que./Qc","Intervieweure",7995,14.88,,
24006,"Anne Minh Thu Quach","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Valleyfield, Que./Qc","Enseignante",6214,11.56,,
24006,"David Smith","Green Party","Parti Vert","Hemmingford, Que./Qc","Informaticien",1764,3.28,,
24007,"Sylvie Boucher","Conservative","Conservateur","Québec, Que./Qc","Parlementaire",17994,36.76,2032,4.2
24007,"Éléonore Mainguy","Bloc Québécois","Bloc Québécois","Québec, Que./Qc","Commis à la diffusion",15962,32.61,,
24007,"Yves Picard","Liberal","Libéral","Québec, Que./Qc","Avocat",7030,14.36,,
24007,"Simon-Pierre Beaudet","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Québec, Que./Qc","Professeur",5986,12.23,,
24007,"Luc Côté","Green Party","Parti Vert","Québec, Que./Qc","Informaticien",1363,2.78,,
24007,"Simon Bédard","Independent","Indépendant","Saint-Sulpice, Que./Qc","Concepteur de jeux",610,1.25,,
24008,"Guy André","Bloc Québécois","Bloc Québécois","Trois-Rivières, Que./Qc","Parlementaire",24945,45.83,12867,23.6
24008,"Marie-Claude Godue","Conservative","Conservateur","Saint-Léon-le-Grand, Que./Qc","Femme d'affaires",12078,22.19,,
24008,"Jean-Luc Matteau","Liberal","Libéral","Charette, Que./Qc","Ingénieur , Conseiller technique",10035,18.44,,
24008,"André Chauvette","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Saint-Gabriel, Que./Qc","Chargé de projet en prévention de la criminalité",5684,10.44,,
24008,"Denis Lefebvre","Green Party","Parti Vert","Trois-Rivières, Que./Qc","Vétérinaire",1691,3.11,,
24009,"Denis Coderre","Liberal","Libéral","Montréal-Nord, Que./Qc","Parlementaire",19869,49.79,9724,24.4
24009,"Daniel Mailhot","Bloc Québécois","Bloc Québécois","Montréal, Que./Qc","Directeur-adjoint école CSDM",10145,25.42,,
24009,"Michelle Allaire","Conservative","Conservateur","Montréal-Nord, Que./Qc","Comptable Agréé",5405,13.55,,
24009,"Samira Laouni","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Laval, Que./Qc","Autonome",3188,7.99,,
24009,"François Boucher","Green Party","Parti Vert","Montréal-Nord, Que./Qc","Agent de sécurité",1166,2.92,,
24009,"Geneviève Royer","Marxist-Leninist","Marxiste-Léniniste","Montréal, Que./Qc","Enseignante",130,0.33,,
24010,"Christian Ouellet","Bloc Québécois","Bloc Québécois","Cowansville, Que./Qc","architecte",17561,35.21,1204,2.4
24010,"Denis Paradis","Liberal","Libéral","Saint-Armand, Que./Qc","Avocat",16357,32.79,,
24010,"Mark Quinlan","Conservative","Conservateur","Gatineau, Que./Qc","Directeur des communications",9309,18.66,,
24010,"Christelle Bogosta","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Bedford, Que./Qc","Adjointe en toxicomanie",4514,9.05,,
24010,"Pierre Brassard","Green Party","Parti Vert","Bromont, Que./Qc","Retraité",1784,3.58,,
24010,"David Marler","Independent","Indépendant","Lac-Brome, Que./Qc","Lawyer",354,0.71,,
24011,"Alexandra Mendes","Liberal","Libéral","Sainte-Catherine, Que./Qc","Agente aux communications",19103,32.59,69,0.1
24011,"Marcel Lussier","Bloc Québécois","Bloc Québécois","Brossard, Que./Qc","Ingénieur",19034,32.47,,
24011,"Maurice Brossard","Conservative","Conservateur","La Prairie, Que./Qc","Retraité",11062,18.87,,
24011,"Hoang Mai","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Montréal, Que./Qc","Notaire",7452,12.71,,
24011,"Sonia Ziadé","Green Party","Parti Vert","Brossard, Que./Qc","Consultante",1816,3.1,,
24011,"Normand Chouinard","Marxist-Leninist","Marxiste-Léniniste","Saint-Philippe-de-La Prairie, Que./Qc","Camionneur",157,0.27,,
24012,"Yves Lessard","Bloc Québécois","Bloc Québécois","Saint-Basile-le-Grand, Que./Qc","Conseiller en relations travail",31773,50.08,21124,33.3
24012,"Gabriel Arsenault","Liberal","Libéral","Mont-Saint-Hilaire, Que./Qc","Étudiant",10649,16.78,,
24012,"Suzanne Chartrand","Conservative","Conservateur","Chambly, Que./Qc","Prés. commission scolaire",9564,15.07,,
24012,"Serge Gélinas","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Chambly, Que./Qc","Conseiller",8998,14.18,,
24012,"Olivier Adam","Green Party","Parti Vert","Montréal, Que./Qc","Producteur multimédia",2460,3.88,,
24013,"Daniel Petit","Conservative","Conservateur","Québec, Que./Qc","Avocat et Parlementaire",20566,41.15,5964,11.9
24013,"Denis Courteau","Bloc Québécois","Bloc Québécois","Québec, Que./Qc","Conseiller régional FTQ",14602,29.22,,
24013,"Denise Legros","Liberal","Libéral","Québec, Que./Qc","Sous-traitante en confection pour dames",7039,14.08,,
