"EDID","Candidate","Party EN","Party FR","Candidate Residence","Candidate Occupation","Votes Obtained","Percentage of Votes Obtained","Majority","Majority Percentage"
46012,"Marcelle Marion","Liberal","Libéral","Winnipeg, Man.","Lawyer",2075,9.22,,
46012,"Catharine Johannson","Green Party","Parti Vert","Winnipeg, Man.","Accountant",1070,4.75,,
46012,"Frank Komarniski","Communist","Communiste","Winnipeg, Man.","Construction Worker",151,0.67,,
46012,"Roger F. Poisson","PPP","PPP","Winnipeg, Man.","Retired",90,0.4,,
46013,"Rod Bruinooge","Conservative","Conservateur","Winnipeg, Man.","Entrepreneur",19954,48.84,5733,14
46013,"John Loewen","Liberal","Libéral","Winnipeg, Man.","Businessman",14221,34.8,,
46013,"Sean Robert","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Winnipeg, Man.","Product Consultant - MLCC",4673,11.44,,
46013,"David Cosby","Green Party","Parti Vert","Winnipeg, Man.","Electrical Engineer",1839,4.5,,
46013,"Heidi Loewen-Steffano","Christian Heritage Party","Parti de l'Héritage Chrétien","Winnipeg, Man.","Homemaker",173,0.42,,
46014,"Anita Neville","Liberal","Libéral","Winnipeg, Man.","Parliamentarian",16438,42.27,2335,6
46014,"Trevor Kennerd","Conservative","Conservateur","Winnipeg, Man.","Entrepreneur-Business Owner",14103,36.26,,
46014,"Rachel Heinrichs","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Winnipeg, Man.","Student",5490,14.12,,
46014,"Vere Scott","Green Party","Parti Vert","Winnipeg, Man.","Retired",2860,7.35,,
47001,"Gerry Ritz","Conservative","Conservateur","St. Walburg, Sask.","Parliamentarian",15621,60.11,9049,34.8
47001,"Bob Woloshyn","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","North Battleford, Sask.","Business Manager",6572,25.29,,
47001,"Gregory Nyholt","Liberal","Libéral","North Battleford, Sask.","Farmer",2140,8.23,,
47001,"Norbert Kratchmer","Green Party","Parti Vert","Unity, Sask.","Organic Farmer",1287,4.95,,
47001,"Harold Stephan","Christian Heritage Party","Parti de l'Héritage Chrétien","Lloydminster, Sask.","Plumber",368,1.42,,
47002,"Lynne Yelich","Conservative","Conservateur","Kenaston, Sask.","Parliamentarian",20747,53.95,10871,28.3
47002,"Patti Gieni","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Saskatoon, Sask.","Transit Time Clerk,Operator",9876,25.68,,
47002,"Deb Ehmann","Liberal","Libéral","Saskatoon, Sask.","Human Resource Manager",5509,14.33,,
47002,"Imre Pallagi","Green Party","Parti Vert","Saskatoon, Sask.","Student",2325,6.05,,
47004,"David Anderson","Conservative","Conservateur","Frontier, Sask.","Parliamentarian",17922,64.36,13528,48.6
